"response_id","prog.prof","prog.comf","math.prof","math.comf","stat.prof","stat.comf","updv.num","dom.x","do_you_have_any_preference_regarding_working_on_an_industry_project_or_a_research_lab_project","PSTAT100","PSTAT115","PSTAT120","PSTAT122","PSTAT126","PSTAT131","PSTAT160","PSTAT174","CS9","CS16","LING104","LING110","LING111","CS130","CS165","ECON145","PSTAT127","PSTAT134","CS5","rsrch","type","lang","dom.y","area"
1,"adv",5,"int",4,"adv",5,"9+","Yes","No preference",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,TRUE,"both","R","Environmental science;Biology;Public health","Deep learning and neural networks;Spatial statistics or time series analysis;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally"
2,"adv",5,"int",4,"adv",4,"6-8","No","I'm more interested in an industry project",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"ind","Python","Ecology;Biology;Public health;Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Databases"
3,"adv",4,"int",4,"adv",4,"9+","No","I'm more interested in an industry project",0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,FALSE,"ind","Python","Social or political science;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally"
4,"adv",4,"int",3,"adv",4,"9+","No","I'm more interested in an industry project",1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,FALSE,"ind","Python","Technology;Software development","Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally"
6,"int",3,"int",3,"int",3,"6-8","Yes","I'm more interested in an industry project",0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE,"ind","Python","Social or political science;Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
7,"int",3,"adv",5,"adv",5,"6-8","Yes","I'm more interested in an industry project",1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,TRUE,"ind","No preference","Environmental science;Public health;Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally"
8,"int",3,"int",3,"int",3,"6-8","No","I'm more interested in an industry project",0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,"ind","Python","Technology;Software development;media/musical technology","Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards"
9,"int",4,"adv",4,"adv",5,"3-5","No","I'm more interested in an industry project",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"ind","No preference","Biology;Public health;Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Algorithms"
10,"int",4,"int",4,"adv",4,"9+","No","No preference",1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,FALSE,"both","Python","Social or political science;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
11,"int",4,"int",4,"beg",3,"0-2","Yes","No preference",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,"both","No preference","Environmental science;Social or political science;Technology","Analysis or classification of images;Deep learning and neural networks;Data visualization and interactive dashboards"
12,"adv",5,"adv",5,"adv",5,"9+","Unsure","No preference",1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,TRUE,"both","R","Biology;Public health;Neuroscience","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Predictive modeling, generally;Statistical models and inference, generally"
13,"int",4,"int",3,"adv",4,"9+","Unsure","No preference",0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,"both","R","Environmental science;Social or political science;Ecology;Biology;Public health;Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
16,"int",4,"int",3,"int",3,"6-8","No","I'm more interested in a research lab project",0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,"lab","Python","Environmental science;Public health;Neuroscience;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
17,"int",3,"adv",5,"adv",5,"9+","No","No preference",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,"both","R","Environmental science;Social or political science;Biology;Technology","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Algorithms"
18,"int",3,"int",4,"int",4,"3-5","Yes","I'm more interested in an industry project",1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,TRUE,"ind","Python","Neuroscience;Technology;Software development","Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Statistical models and inference, generally"
19,"int",4,"int",5,"adv",4,"9+","No","I'm more interested in a research lab project",1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,TRUE,"lab","No preference","Public health;Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Model deployment and software or web integrations"
21,"int",4,"int",3,"adv",5,"6-8","No","I'm more interested in an industry project",0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,TRUE,"ind","Python","Technology;Software development","Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally"
22,"adv",5,"adv",5,"adv",5,"9+","Yes","I'm more interested in an industry project",0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,"ind","Python","Social or political science;Public health;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
23,"int",4,"int",3,"int",3,"9+","Yes","I'm more interested in an industry project",0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,TRUE,"ind","Python","Environmental science;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Databases"
24,"int",5,"adv",5,"int",5,"9+","Yes","I'm more interested in an industry project",1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,FALSE,"ind","Python","Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Databases;Algorithms"
25,"adv",3,"adv",5,"adv",5,"9+","Unsure","I am not sure quite yet but leaning towards industry at the moment",0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,"ind","R","Technology;Software development","Spatial statistics or time series analysis;Data acquisition and engineering;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
27,"adv",3,"adv",3,"adv",4,"9+","No","I'm more interested in an industry project",0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,"ind","Python","Neuroscience;Technology;Software development","Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Algorithms"
28,"beg",3,"beg",4,"beg",3,"6-8","No","I'm more interested in an industry project",0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,"ind","R","Environmental science;Social or political science;Public health;Technology;Software development","Analysis or classification of images;Data acquisition and engineering;Natural language processing and analysis of text;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Algorithms"
29,"adv",4,"adv",5,"adv",5,"9+","Yes","No preference; I'd like to work on whichever project offers rigor and high impact/tangible outcomes",0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,"both","Python; but Iâ€™m comfortable in R, SQL, and other tools as needed. Stronger preference for Python over R.","Technology;Software development;A mix of engineering/developing things that greatly help people (large, tangible), progressive, or state-of-art results, without necessarily needing expert domain expertise.","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Backend"
30,"adv",5,"adv",5,"adv",4,"9+","Unsure","I'm more interested in an industry project",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,"ind","Python","Technology;Software development","Deep learning and neural networks;Spatial statistics or time series analysis;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Algorithms"
31,"int",3,"int",4,"int",4,"6-8","Yes","I'm more interested in an industry project",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,"ind","No preference","Environmental science;Social or political science;Public health;Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
32,"int",4,"beg",4,"int",4,"6-8","No","I'm more interested in an industry project",0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,"ind","Python","Biology;Public health;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Databases"
33,"int",3,"adv",4,"adv",4,"9+","Yes","No preference",0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"both","R","Technology;Chemistry","Analysis or classification of images;Deep learning and neural networks;Statistical models and inference, generally"
34,"int",4,"adv",5,"adv",5,"9+","No","I'm more interested in an industry project",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,"ind","No preference","Environmental science;Social or political science;Public health;Technology;Software development","Spatial statistics or time series analysis;Natural language processing and analysis of text;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
35,"int",4,"adv",3,"adv",4,"9+","Yes","I'm more interested in an industry project",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,TRUE,"ind","No preference","Biology;Public health;Neuroscience","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
36,"int",2,"int",4,"int",3,"9+","Yes","I'm more interested in an industry project",0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,TRUE,"ind","Python","Environmental science;Social or political science;Public health;Neuroscience;Technology;Software development;Entertainment","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally"
37,"int",3,"adv",5,"int",4,"9+","No","No preference",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,"both","No preference","Environmental science;Social or political science;Public health;Technology","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases"
38,"int",4,"int",4,"int",5,"3-5","No","I'm more interested in an industry project",0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,"ind","R","Environmental science;Biology;Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Databases;Algorithms"
39,"adv",4,"int",4,"adv",5,"6-8","Yes","I'm more interested in an industry project",0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,"ind","No preference","Public health;Technology;Software development","Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases"
40,"int",4,"int",4,"beg",2,"0-2","No","No preference",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,"both","No preference","Biology;Neuroscience;Technology;Software development;Psychology","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Databases;Algorithms"
41,"int",4,"beg",3,"int",3,"3-5","Yes","I'm more interested in an industry project",0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,TRUE,"ind","Python","Biology;Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
42,"int",4,"adv",4,"adv",4,"6-8","Yes","No preference",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,TRUE,"both","Python","Environmental science;Social or political science;Ecology;Biology;Public health;Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally"
43,"int",3,"adv",4,"adv",4,"9+","Unsure","No preference",0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,FALSE,"both","Python","Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Databases;Algorithms"
44,"adv",4,"adv",5,"adv",5,"6-8","Yes","I'm more interested in an industry project",0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,"ind","Python","Social or political science;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Algorithms"
45,"adv",4,"int",3,"int",3,"6-8","No","I'm more interested in an industry project",0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,"ind","Python","Environmental science;Ecology;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
46,"adv",4,"adv",3,"adv",3,"3-5","Unsure","I'm more interested in an industry project",0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,TRUE,"ind","Python","Social or political science;Public health;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Databases;Algorithms"
47,"adv",5,"int",5,"adv",5,"9+","No","I'm more interested in an industry project",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,"ind","Python","Biology;Public health;Neuroscience;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
48,"adv",3,"adv",4,"adv",4,"9+","No","I'm more interested in an industry project",0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,"ind","Python","Environmental science;Public health;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Natural language processing and analysis of text;Predictive modeling, generally;Algorithms"
49,"int",5,"int",4,"int",3,"9+","Yes","No preference",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,"both","R","Social or political science;Technology;Software development","Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Databases"
50,"int",4,"adv",5,"adv",4,"3-5","Yes","I'm more interested in an industry project",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,"ind","No preference","Technology;Economics / Accounting","Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Predictive modeling, generally"
51,"int",3,"adv",3,"adv",3,"3-5","Yes","I'm more interested in an industry project",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,"ind","Python","Neuroscience;Technology;Software development","Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms"
55,"int",4,"adv",5,"adv",5,"9+","No","I'm more interested in an industry project",0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,TRUE,"ind","Python","Public health;Neuroscience;Technology;Software development;Music & Audio","Deep learning and neural networks;Spatial statistics or time series analysis;Natural language processing and analysis of text;Predictive modeling, generally;Algorithms"
56,"int",3,"int",3,"int",4,"3-5","Yes","I'm more interested in an industry project",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,"ind","Python","Environmental science;Public health","Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Predictive modeling, generally;Databases"
59,"adv",5,"int",4,"adv",4,"9+","Unsure","I'm more interested in a research lab project",1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,"lab","Python","Technology;Software development","Deep learning and neural networks;Natural language processing and analysis of text;Predictive modeling, generally"
